Product_ID,Product_Name,Category,Sub_Category,Unit_Price,Cost_Price
P0001,iPhone 15 Pro Max 256GB,Electronics,Smartphones,1299.99,945
P0002,Samsung Galaxy S24 Ultra,Electronics,Smartphones,1199.99,839.99
P0003,OnePlus 12 5G,Electronics,Smartphones,799.99,559.99
P0004,Google Pixel 8 Pro,Electronics,Smartphones,999.99,679.99
P0005,Xiaomi 14 Ultra,Electronics,Smartphones,899.99,629.99
P0006,Vivo X100,Electronics,Smartphones,749.99,524.99
P0007,OPPO Reno 11,Electronics,Smartphones,599.99,419.99
P0008,Nothing Phone 2a,Electronics,Smartphones,499.99,349.99
P0009,Motorola Edge 50,Electronics,Smartphones,449.99,314.99
P0010,Realme 12,Electronics,Smartphones,379.99,265.99
P0011,Dell XPS 15 Laptop,Electronics,Laptops,2499.99,1699.99
P0012,MacBook Pro 16 M3 Max,Electronics,Laptops,3499.99,2324.99
P0013,HP Pavilion 15 Laptop,Electronics,Laptops,849.99,594.99
P0014,Lenovo ThinkPad X1 Carbon,Electronics,Laptops,1799.99,1259.99
P0015,ASUS VivoBook 15,Electronics,Laptops,749.99,524.99
P0016,Acer Aspire 5 Laptop,Electronics,Laptops,699.99,489.99
P0017,MSI Gaming Laptop GF63,Electronics,Laptops,1299.99,909.99
P0018,Razer Blade 14 Gaming Laptop,Electronics,Laptops,2299.99,1609.99
P0019,Apple MacBook Air M2,Electronics,Laptops,1999.99,1399.99
P0020,Surface Laptop Studio,Electronics,Laptops,2999.99,1999.99
P0021,iPad Air 11-inch,Electronics,Tablets,799.99,559.99
P0022,iPad Pro 12.9-inch,Electronics,Tablets,1099.99,769.99
P0023,Samsung Galaxy Tab S9 Ultra,Electronics,Tablets,899.99,629.99
P0024,Lenovo Tab P12 Pro,Electronics,Tablets,749.99,524.99
P0025,OnePlus Pad,Electronics,Tablets,649.99,454.99
P0026,Microsoft Surface Pro 9,Electronics,Tablets,1299.99,909.99
P0027,iPad Mini 7,Electronics,Tablets,499.99,349.99
P0028,Samsung Galaxy Tab A8,Electronics,Tablets,349.99,244.99
P0029,Amazon Fire Max 11,Electronics,Tablets,249.99,174.99
P0030,Realme Pad Mini,Electronics,Tablets,199.99,139.99
P0031,Apple AirPods Pro Max,Electronics,Audio,549.99,384.99
P0032,Sony WH-1000XM5 Headphones,Electronics,Audio,399.99,279.99
P0033,Bose QuietComfort 45,Electronics,Audio,379.99,265.99
P0034,Sennheiser Momentum 4,Electronics,Audio,499.99,349.99
P0035,JBL Live 660NC Headphones,Electronics,Audio,229.99,160.99
P0036,Beats Studio Pro,Electronics,Audio,399.99,279.99
P0037,Bang & Olufsen Beoplay HX,Electronics,Audio,379.99,265.99
P0038,Marshall Major IV,Electronics,Audio,199.99,139.99
P0039,Anker Soundcore Pro,Electronics,Audio,129.99,90.99
P0040,JBL Flip 6 Speaker,Electronics,Audio,129.99,90.99
P0041,Premium iPhone 15 Pro Case,Electronics,Accessories,49.99,34.99
P0042,Spigen iPhone Case Clear,Electronics,Accessories,24.99,17.49
P0043,OtterBox Defender Case,Electronics,Accessories,39.99,27.99
P0044,Apple USB-C Lightning Cable,Electronics,Accessories,19.99,13.99
P0045,Anker 65W Fast Charger,Electronics,Accessories,34.99,24.49
P0046,Belkin Wireless Charging Pad,Electronics,Accessories,29.99,20.99
P0047,iMuto Power Bank 30000mAh,Electronics,Accessories,39.99,27.99
P0048,Baseus Car Phone Mount,Electronics,Accessories,14.99,10.49
P0049,Tempered Glass Screen Protector,Electronics,Accessories,9.99,6.99
P0050,USB-C Hub 7-in-1,Electronics,Accessories,44.99,31.49
P0051,Canon EOS R5 Mirrorless Camera,Electronics,Cameras,3899.99,2729.99
P0052,Sony A7R V,Electronics,Cameras,3198,2238.6
P0053,Nikon Z9 Pro Camera,Electronics,Cameras,5496.95,3847.87
P0054,Canon EOS 90D DSLR,Electronics,Cameras,1199.99,839.99
P0055,Nikon D850 Camera,Electronics,Cameras,3296.95,2307.87
P0056,GoPro HERO 12 Action Camera,Electronics,Cameras,499.99,349.99
P0057,DJI Osmo Action 4,Electronics,Cameras,349.99,244.99
P0058,Insta360 ONE X3,Electronics,Cameras,449.99,314.99
P0059,Sony Cyber-shot RX100 VII,Electronics,Cameras,1198,838.6
P0060,Fujifilm X-T5 Camera,Electronics,Cameras,1699.99,1189.99
P0061,Cotton Plain T-Shirt Men,Fashion,Mens Clothing,19.99,13.99
P0062,Formal White Dress Shirt,Fashion,Mens Clothing,34.99,24.49
P0063,Slim Fit Denim Jeans,Fashion,Mens Clothing,49.99,34.99
P0064,Casual Cotton Polo Shirt,Fashion,Mens Clothing,29.99,20.99
P0065,Linen Lounge Shorts,Fashion,Mens Clothing,24.99,17.49
